Date,Open,High,Low,Close,Adj Close,Volume
2017-02-15,0.008750,0.008753,0.008700,0.008749,0.008749,0
2017-02-16,0.008761,0.008832,0.008761,0.008763,0.008763,0
2017-02-17,0.008822,0.008879,0.008812,0.008826,0.008826,0
2017-02-20,0.008857,0.008862,0.008831,0.008857,0.008857,0
2017-02-21,0.008831,0.008831,0.008791,0.008828,0.008828,0
2017-02-22,0.008799,0.008856,0.008799,0.008797,0.008797,0
2017-02-23,0.008820,0.008883,0.008819,0.008817,0.008817,0
2017-02-24,0.008875,0.008923,0.008853,0.008875,0.008875,0
2017-02-27,0.008915,0.008934,0.008891,0.008914,0.008914,0
2017-02-28,0.008870,0.008946,0.008865,0.008870,0.008870,0
2017-03-01,0.008847,0.008864,0.008769,0.008844,0.008844,0
2017-03-02,0.008764,0.008784,0.008731,0.008763,0.008763,0
2017-03-03,0.008747,0.008766,0.008732,0.008746,0.008746,0
2017-03-06,0.008785,0.008806,0.008779,0.008784,0.008784,0
2017-03-07,0.008778,0.008792,0.008761,0.008778,0.008778,0
2017-03-08,0.008778,0.008801,0.008717,0.008778,0.008778,0
2017-03-09,0.008741,0.008744,0.008700,0.008740,0.008740,0
2017-03-10,0.008685,0.008710,0.008659,0.008684,0.008684,0
2017-03-13,0.008713,0.008735,0.008702,0.008716,0.008716,0
2017-03-14,0.008702,0.008729,0.008682,0.008702,0.008702,0
2017-03-15,0.008722,0.008729,0.008705,0.008722,0.008722,0
2017-03-16,0.008818,0.008856,0.008808,0.008818,0.008818,0
2017-03-17,0.008822,0.008885,0.008811,0.008823,0.008823,0
2017-03-20,0.008876,0.008891,0.008859,0.008875,0.008875,0
2017-03-21,0.008883,0.008942,0.008861,0.008883,0.008883,0
2017-03-22,0.008964,0.009028,0.008948,0.008966,0.008966,0
2017-03-23,0.008982,0.009039,0.008964,0.008979,0.008979,0
2017-03-24,0.009010,0.009019,0.008971,0.009009,0.009009,0
2017-03-27,0.009046,0.009081,0.009043,0.009046,0.009046,0
2017-03-28,0.009030,0.009074,0.009024,0.009028,0.009028,0
2017-03-29,0.008994,0.009029,0.008985,0.008991,0.008991,0
2017-03-30,0.008999,0.009012,0.008970,0.008997,0.008997,0
2017-03-31,0.008949,0.008977,0.008914,0.008946,0.008946,0
2017-04-03,0.008984,0.009015,0.008963,0.008988,0.008988,0
2017-04-04,0.009033,0.009068,0.009025,0.009033,0.009033,0
2017-04-05,0.009023,0.009046,0.008975,0.009021,0.009021,0
2017-04-06,0.009058,0.009067,0.009000,0.009060,0.009060,0
2017-04-07,0.009018,0.009078,0.009010,0.009017,0.009017,0
2017-04-10,0.008991,0.009014,0.008963,0.008991,0.008991,0
2017-04-11,0.009034,0.009121,0.009023,0.009032,0.009032,0
2017-04-12,0.009125,0.009144,0.009111,0.009125,0.009125,0
2017-04-13,0.009185,0.009196,0.009143,0.009183,0.009183,0
2017-04-14,0.009165,0.009211,0.009156,0.009166,0.009166,0
2017-04-17,0.009234,0.009247,0.009206,0.009232,0.009232,0
2017-04-18,0.009162,0.009224,0.009157,0.009165,0.009165,0
2017-04-19,0.009213,0.009223,0.009160,0.009214,0.009214,0
2017-04-20,0.009188,0.009198,0.009140,0.009188,0.009188,0
2017-04-21,0.009143,0.009179,0.009142,0.009143,0.009143,0
2017-04-24,0.009091,0.009114,0.009064,0.009093,0.009093,0
2017-04-25,0.009122,0.009122,0.009010,0.009121,0.009121,0
2017-04-26,0.009004,0.009006,0.008951,0.009005,0.009005,0
2017-04-27,0.008995,0.009005,0.008961,0.008994,0.008994,0
2017-04-28,0.008992,0.009003,0.008954,0.008991,0.008991,0
2017-05-01,0.008984,0.008984,0.008937,0.008985,0.008985,0
2017-05-02,0.008943,0.008943,0.008905,0.008944,0.008944,0
2017-05-03,0.008931,0.008931,0.008890,0.008931,0.008931,0
2017-05-04,0.008865,0.008876,0.008847,0.008867,0.008867,0
2017-05-05,0.008886,0.008921,0.008870,0.008886,0.008886,0
2017-05-08,0.008874,0.008897,0.008860,0.008874,0.008874,0
2017-05-09,0.008833,0.008839,0.008756,0.008832,0.008832,0
2017-05-10,0.008796,0.008799,0.008760,0.008795,0.008795,0
2017-05-11,0.008749,0.008812,0.008746,0.008747,0.008747,0
2017-05-12,0.008786,0.008833,0.008776,0.008787,0.008787,0
2017-05-15,0.008829,0.008830,0.008793,0.008828,0.008828,0
