Date, Close/Last, Volume, Open, High, Low
12/5/2017,1264.9,311493,1279.1,1279.8,1263.2
12/4/2017,1277.7,250246,1277.6,1280.5,1273.5
12/1/2017,1282.3,421344,1277.9,1292.5,1274.2
11/30/2017,1276.7,331729,1286.9,1288.4,1273.1
11/29/2017,1286.2,370799,1298,1300.4,1285.1
11/28/2017,1299.2,224246,1298.8,1301.3,1294.5
11/27/2017,1298.9,143791,1292,1303.4,1290.7
11/24/2017,1291.8,83375,1296.1,1297.6,1289.5
11/22/2017,1296.8,5008,1296.1,1296.4,1293.7
11/21/2017,1281.7,315463,1276.6,1284.5,1275.8
11/20/2017,1275.3,399552,1294.1,1295.1,1274.1
11/17/2017,1296.5,368094,1278.8,1297.5,1278.1
11/16/2017,1278.2,268021,1278,1281.8,1274.9
11/15/2017,1277.7,417251,1280.7,1290,1276.5
11/14/2017,1282.9,342150,1278.9,1283.8,1269.7
11/13/2017,1278.9,213187,1275.3,1279.9,1274.4
11/10/2017,1274.2,342281,1286,1287.7,1273.6
11/9/2017,1287.5,20559,1286,1287.7,1285.4
11/8/2017,1283.7,346077,1276.4,1288.1,1276.1
11/7/2017,1275.8,327931,1282.6,1282.8,1272.3
11/6/2017,1281.6,340658,1270.7,1283.9,1266.4
11/3/2017,1269.2,361591,1277.5,1281.2,1265.9
11/2/2017,1278.1,374063,1275.2,1285.1,1274
11/1/2017,1277.3,376514,1271.8,1281.9,1268.5
10/31/2017,1270.5,264613,1277.6,1279.1,1268.3
10/30/2017,1277.7,253987,1274.3,1279.9,1269.8
10/27/2017,1271.8,352515,1268,1275.2,1263.8
10/26/2017,1269.6,377535,1278.6,1283.8,1266.4
10/25/2017,1279,368454,1278,1281.3,1272
10/24/2017,1278.3,262004,1283.9,1285.3,1274.8
10/23/2017,1280.9,276923,1281.5,1284.7,1273.6
10/20/2017,1280.5,308883,1292,1292.9,1279.3
10/19/2017,1290,345419,1282.8,1292.8,1277.6
10/18/2017,1283,250218,1286.9,1290.8,1278.6
10/17/2017,1286.2,328145,1297.2,1298.4,1283.2
10/16/2017,1303,265876,1306,1308.4,1292.5
10/13/2017,1304.6,290549,1296,1306.4,1292.9
10/12/2017,1296.5,239955,1294.6,1299.8,1291.8
10/11/2017,1288.9,258782,1290.7,1295.9,1286.8
10/10/2017,1293.8,308402,1286.8,1296.7,1284.6
10/9/2017,1285,195058,1278.6,1288,1277.7
10/6/2017,1274.9,361565,1270.6,1279.2,1262.8
10/5/2017,1273.2,217774,1277.5,1281.6,1268.5
10/4/2017,1276.8,266333,1274.5,1285,1273.1
10/3/2017,1274.6,202951,1273.1,1277.4,1271
10/2/2017,1275.8,267375,1282.2,1282.8,1272
9/29/2017,1284.8,280671,1290.1,1293.2,1278.2
9/28/2017,1288.7,279916,1285.1,1291.6,1280.4
9/27/2017,1287.8,364084,1297.3,1299.2,1284.1
9/26/2017,1301.7,376702,1314.2,1317.1,1295
9/25/2017,1311.5,357294,1301.5,1315.8,1291.7
9/22/2017,1297.5,256421,1294.1,1301.9,1294.1
9/21/2017,1294.8,388118,1304.8,1305,1291.2
9/20/2017,1316.4,343639,1314.7,1319.8,1299.5
9/19/2017,1310.6,268037,1310.5,1315.3,1308.7
9/18/2017,1310.8,259701,1324,1324,1308.1
9/15/2017,1325.2,313245,1333.7,1338.2,1323
9/14/2017,1329.3,327600,1327.6,1334.9,1319.5
9/13/2017,1328,298024,1336.2,1340.5,1324.5
9/12/2017,1332.7,281134,1331.7,1336.3,1326.7
9/11/2017,1335.7,292049,1341.5,1344.6,1330.6
9/8/2017,1351.2,377234,1354,1362.4,1347.1
9/7/2017,1350.3,354009,1339,1355.5,1337.2
9/6/2017,1339,297521,1345,1347.7,1336.4
9/5/2017,1344.5,546280,1339.8,1349.7,1331.1
9/1/2017,1330.4,52922,1339.7,1343.5,1330.4
8/31/2017,1322.2,359132,1314.1,1329,1302.3
8/30/2017,1314.1,301091,1314.8,1319.3,1310.1
8/29/2017,1318.9,444146,1320.5,1331.9,1310.6
8/28/2017,1315.3,310489,1297.6,1317.8,1297
8/25/2017,1297.9,350288,1291.3,1301.4,1281.3
8/24/2017,1292,237998,1296,1296.8,1289.3
8/23/2017,1294.7,226744,1290.4,1297,1287.9
8/22/2017,1291,259806,1297.1,1298.1,1287
8/21/2017,1296.7,254319,1289.1,1299.7,1286.2
